,phone_loss,phone_acc,word_loss,word_acc,set
0,1.3210796679628918,0.6118835708725906,2.73722718407568,0.5000241877334217,train
1,1.1301481068589305,0.6434150340902897,2.2400964311061013,0.5483028647553829,valid
2,1.3105995540027942,0.6123988688673939,2.6908607410444034,0.5024246971966876,train
3,1.1139891635370618,0.6468514980250643,2.1952117497684394,0.5539165809864306,valid
4,1.3072311211796677,0.612750705579272,2.6661804516270626,0.5034775879797518,train
5,1.135196732200739,0.6422989183709822,2.207725283571782,0.5533840939288831,valid
6,1.2994197106326129,0.6145282610349099,2.6330256523768933,0.506970276238819,train
7,1.1277880708679897,0.644651714354071,2.1728302955627443,0.5552805068838688,valid
8,1.2972268868174879,0.615340678695678,2.6225750600966746,0.5072914769584668,train
9,1.125014487841657,0.6429706300487955,2.1755397312513747,0.5549334374092917,valid
10,1.2990894374621162,0.6143497217792098,2.615199109624339,0.507909532851729,train
11,1.106591771213153,0.6471858483234435,2.163773038005101,0.5582558521787628,valid
12,1.2933114061375452,0.615935261862086,2.5956359989042714,0.5099002545514117,train
13,1.1233792612570843,0.6444170454076228,2.1464471533098295,0.5574860424485826,valid
14,1.2922768301818586,0.6161557806073937,2.584933990393197,0.5111984356890148,train
15,1.1122197424182454,0.6454382289456957,2.1292147392535026,0.5586387164720142,valid
16,1.300032071464072,0.6135183091268844,2.5938691173791923,0.5092225145570058,train
17,1.1146390421699932,0.6452052087274216,2.132643399347786,0.5599030712178645,valid
18,1.2910114512572066,0.6159370468080985,2.569315909454218,0.5127087848300409,train
19,1.1009703486930322,0.6488205914278977,2.0944532085011023,0.5639209777344274,valid
20,1.2867273643969526,0.617053625598473,2.5573661560951964,0.5141068834261949,train
21,1.121865029007424,0.6450911667510754,2.123147803590498,0.5592142218851861,valid
22,1.2904077713058695,0.6161570555613779,2.559643344102532,0.5136234704783434,train
23,1.1158901090840347,0.6471693900705294,2.1198308937422192,0.5621086893190864,valid
24,1.2911866841309458,0.615920999527179,2.5551970774385264,0.5136490840663739,train
25,1.1164819741067085,0.6470453018450555,2.0944378692685195,0.563398463671444,valid
26,1.285916115723757,0.6171496577808497,2.536002223388259,0.5163201873260218,train
27,1.1294367153225964,0.6426368717928879,2.123158967403965,0.5633689447213676,valid
28,1.2405727207201915,0.6299289178828117,2.4219638992653376,0.5340506486019653,train
29,1.065876452249425,0.6594624672227234,1.971636268382764,0.5900063519259445,valid
30,1.2330383166456262,0.6318992801805119,2.3968420355539677,0.537945606271643,train
31,1.0609829791629588,0.6628992777744322,1.9479438337660928,0.588177831027344,valid
32,1.230394849394094,0.6328092370455396,2.390395063634463,0.5383736580454657,train
33,1.0652802352686874,0.660505137188744,1.9785062176580648,0.5831210631450624,valid
34,1.225688552767212,0.6341402907501197,2.3755173321699443,0.5403070937949962,train
35,1.0594068013984739,0.6608855709774804,1.9831412566527156,0.5856502087971637,valid
36,1.226981752612726,0.633899086778737,2.3779111107844106,0.539992659595902,train
37,1.0555045837664423,0.6639106522079643,1.9568061592014692,0.5883215061580862,valid
38,1.2218969425496347,0.6350088738797134,2.3727535767112093,0.5408776135600943,train
39,1.057739032133845,0.6636358743405524,1.9179318759277577,0.5904699432940883,valid
40,1.224122110157526,0.6342592684503218,2.368332012186646,0.5409984126651518,train
41,1.064727581366328,0.6599460961254499,1.9606966844951834,0.5865483908252862,valid
